 Node   position   x[mm]   xp[mrad]   y[mm]   yp[mrad]
        HEBT2:HEBT_Mag:DCH22:2:drift  116.18876    -1.7581  -0.3933  -3.7166  0.4110
        HEBT2:HEBT_Diag:WS22:1:drift  116.64940    -1.9393  -0.3933  -3.5273  0.4110
        HEBT2:HEBT_Diag:WS22:2:drift  117.11004    -2.1205  -0.3933  -3.3379  0.4110
        HEBT2:HEBT_Diag:WS22:3:drift  117.57068    -2.3016  -0.3933  -3.1486  0.4110
        HEBT2:HEBT_Diag:WS22:4:drift  118.03133    -2.4828  -0.3933  -2.9593  0.4110
        HEBT2:HEBT_Diag:WS22:5:drift  118.49197    -2.6640  -0.3933  -2.7700  0.4110
        HEBT2:HEBT_Diag:WS22:6:drift  118.95261    -2.8451  -0.3933  -2.5807  0.4110
        HEBT2:HEBT_Diag:WS22:7:drift  119.41325    -3.0263  -0.3933  -2.3914  0.4110
            HEBT_Mag:QV23_fringe_out  119.91825    -3.4223  -1.1916  -2.0387  0.9711
         HEBT2:HEBT_Mag:QV23:1:drift  120.04891    -3.5780  -1.1916  -1.9118  0.9711
       HEBT2:HEBT_Diag:BPM23:1:drift  120.18590    -3.7413  -1.1916  -1.7788  0.9711
        HEBT2:HEBT_Mag:DCV23:1:drift  120.43733    -4.0409  -1.1916  -1.5347  0.9711
        HEBT2:HEBT_Mag:DCV23:2:drift  120.68876    -4.3405  -1.1916  -1.2905  0.9711
        HEBT2:HEBT_Diag:WS23:1:drift  121.14940    -4.8894  -1.1916  -0.8432  0.9711
        HEBT2:HEBT_Diag:WS23:2:drift  121.61004    -5.4383  -1.1916  -0.3959  0.9711
        HEBT2:HEBT_Diag:WS23:3:drift  122.07068    -5.9872  -1.1916  0.0514  0.9711
        HEBT2:HEBT_Diag:WS23:4:drift  122.53133    -6.5361  -1.1916  0.4987  0.9711
        HEBT2:HEBT_Diag:WS23:5:drift  122.99197    -7.0850  -1.1916  0.9460  0.9711
        HEBT2:HEBT_Diag:WS23:6:drift  123.45261    -7.6338  -1.1916  1.3933  0.9711
        HEBT2:HEBT_Diag:WS23:7:drift  123.91325    -8.1827  -1.1916  1.8406  0.9711
            HEBT_Mag:QH24_fringe_out  124.41825    -8.1417  1.3520  2.4886  1.6284
         HEBT2:HEBT_Mag:QH24:1:drift  124.54891    -7.9651  1.3520  2.7014  1.6284
       HEBT2:HEBT_Diag:BPM24:1:drift  124.68590    -7.7799  1.3520  2.9245  1.6284
        HEBT2:HEBT_Mag:DCH24:1:drift  125.08270    -7.2434  1.3520  3.5706  1.6284
        HEBT2:HEBT_Mag:DCH24:2:drift  125.47950    -6.7070  1.3520  4.2167  1.6284
