Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: c:\USER\SHISHLO\SNS_Physics\Cavities_Filed_Calculations\MEBT\sfish\SF.INI  4-04-2003  16:43:54
Solution file C:\USER\SHISHLO\SNS_PHYSICS\CAVITIES_FILED_CALCULATIONS\MEBT\SFISH\SFIN-1_8CM.T35.
Memory used for SFIN-1_8CM.T35 arrays:     752.388 K
Reading keyword commands and data from file:
C:\USER\SHISHLO\SNS_PHYSICS\CAVITIES_FILED_CALCULATIONS\MEBT\SFISH\SFIN-1_8CM.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (5.048,1.8)
Z and R increments:   200    50

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   2.67544       0.00000      3.703538E-01  0.000000E+00  3.703538E-01  0.000000E+00
   2.70068       0.00000      3.588005E-01  0.000000E+00  3.588005E-01  0.000000E+00
   2.72592       0.00000      3.470531E-01  0.000000E+00  3.470531E-01  0.000000E+00
   2.75116       0.00000      3.362000E-01  0.000000E+00  3.362000E-01  0.000000E+00
   2.77640       0.00000      3.256686E-01  0.000000E+00  3.256686E-01  0.000000E+00
   2.80164       0.00000      3.154588E-01  0.000000E+00  3.154588E-01  0.000000E+00
   2.82688       0.00000      3.050546E-01  0.000000E+00  3.050546E-01  0.000000E+00
   2.85212       0.00000      2.954739E-01  0.000000E+00  2.954739E-01  0.000000E+00
   2.87736       0.00000      2.861812E-01  0.000000E+00  2.861812E-01  0.000000E+00
   2.90260       0.00000      2.771766E-01  0.000000E+00  2.771766E-01  0.000000E+00
   2.92784       0.00000      2.679833E-01  0.000000E+00  2.679833E-01  0.000000E+00
   2.95308       0.00000      2.595415E-01  0.000000E+00  2.595415E-01  0.000000E+00
   2.97832       0.00000      2.513567E-01  0.000000E+00  2.513567E-01  0.000000E+00
   3.00356       0.00000      2.434290E-01  0.000000E+00  2.434290E-01  0.000000E+00
   3.02880       0.00000      2.353224E-01  0.000000E+00  2.353224E-01  0.000000E+00
   3.05404       0.00000      2.278964E-01  0.000000E+00  2.278964E-01  0.000000E+00
   3.07928       0.00000      2.206992E-01  0.000000E+00  2.206992E-01  0.000000E+00
   3.10452       0.00000      2.137308E-01  0.000000E+00  2.137308E-01  0.000000E+00
   3.12976       0.00000      2.065957E-01  0.000000E+00  2.065957E-01  0.000000E+00
   3.15500       0.00000      2.000735E-01  0.000000E+00  2.000735E-01  0.000000E+00
   3.18024       0.00000      1.937543E-01  0.000000E+00  1.937543E-01  0.000000E+00
   3.20548       0.00000      1.876383E-01  0.000000E+00  1.876383E-01  0.000000E+00
   3.23072       0.00000      1.813692E-01  0.000000E+00  1.813692E-01  0.000000E+00
   3.25596       0.00000      1.756491E-01  0.000000E+00  1.756491E-01  0.000000E+00
   3.28120       0.00000      1.701089E-01  0.000000E+00  1.701089E-01  0.000000E+00
   3.30644       0.00000      1.647488E-01  0.000000E+00  1.647488E-01  0.000000E+00
   3.33168       0.00000      1.592498E-01  0.000000E+00  1.592498E-01  0.000000E+00
   3.35692       0.00000      1.542404E-01  0.000000E+00  1.542404E-01  0.000000E+00
   3.38216       0.00000      1.493903E-01  0.000000E+00  1.493903E-01  0.000000E+00
   3.40740       0.00000      1.446995E-01  0.000000E+00  1.446995E-01  0.000000E+00
   3.43264       0.00000      1.398842E-01  0.000000E+00  1.398842E-01  0.000000E+00
   3.45788       0.00000      1.355038E-01  0.000000E+00  1.355038E-01  0.000000E+00
   3.48312       0.00000      1.312643E-01  0.000000E+00  1.312643E-01  0.000000E+00
   3.50836       0.00000      1.271658E-01  0.000000E+00  1.271658E-01  0.000000E+00
   3.53360       0.00000      1.229566E-01  0.000000E+00  1.229566E-01  0.000000E+00
   3.55884       0.00000      1.191326E-01  0.000000E+00  1.191326E-01  0.000000E+00
   3.58408       0.00000      1.154331E-01  0.000000E+00  1.154331E-01  0.000000E+00
   3.60932       0.00000      1.118583E-01  0.000000E+00  1.118583E-01  0.000000E+00
   3.63456       0.00000      1.081862E-01  0.000000E+00  1.081862E-01  0.000000E+00
   3.65980       0.00000      1.048541E-01  0.000000E+00  1.048541E-01  0.000000E+00
   3.68504       0.00000      1.016323E-01  0.000000E+00  1.016323E-01  0.000000E+00
   3.71028       0.00000      9.852075E-02  0.000000E+00  9.852075E-02  0.000000E+00
   3.73552       0.00000      9.532437E-02  0.000000E+00  9.532437E-02  0.000000E+00
   3.76076       0.00000      9.242758E-02  0.000000E+00  9.242758E-02  0.000000E+00
   3.78600       0.00000      8.962838E-02  0.000000E+00  8.962838E-02  0.000000E+00
   3.81124       0.00000      8.692676E-02  0.000000E+00  8.692676E-02  0.000000E+00
   3.83648       0.00000      8.415218E-02  0.000000E+00  8.415218E-02  0.000000E+00
   3.86172       0.00000      8.164081E-02  0.000000E+00  8.164081E-02  0.000000E+00
   3.88696       0.00000      7.921596E-02  0.000000E+00  7.921596E-02  0.000000E+00
   3.91220       0.00000      7.687764E-02  0.000000E+00  7.687764E-02  0.000000E+00
   3.93744       0.00000      7.447746E-02  0.000000E+00  7.447746E-02  0.000000E+00
   3.96268       0.00000      7.230794E-02  0.000000E+00  7.230794E-02  0.000000E+00
   3.98792       0.00000      7.021531E-02  0.000000E+00  7.021531E-02  0.000000E+00
   4.01316       0.00000      6.819960E-02  0.000000E+00  6.819960E-02  0.000000E+00
   4.03840       0.00000      6.613244E-02  0.000000E+00  6.613244E-02  0.000000E+00
   4.06364       0.00000      6.426688E-02  0.000000E+00  6.426688E-02  0.000000E+00
   4.08888       0.00000      6.246989E-02  0.000000E+00  6.246989E-02  0.000000E+00
   4.11412       0.00000      6.074147E-02  0.000000E+00  6.074147E-02  0.000000E+00
   4.13936       0.00000      5.897143E-02  0.000000E+00  5.897143E-02  0.000000E+00
   4.16460       0.00000      5.737706E-02  0.000000E+00  5.737706E-02  0.000000E+00
   4.18984       0.00000      5.584411E-02  0.000000E+00  5.584411E-02  0.000000E+00
   4.21508       0.00000      5.437256E-02  0.000000E+00  5.437256E-02  0.000000E+00
   4.24032       0.00000      5.286869E-02  0.000000E+00  5.286869E-02  0.000000E+00
   4.26556       0.00000      5.151738E-02  0.000000E+00  5.151738E-02  0.000000E+00
   4.29080       0.00000      5.022138E-02  0.000000E+00  5.022138E-02  0.000000E+00
   4.31604       0.00000      4.898068E-02  0.000000E+00  4.898068E-02  0.000000E+00
   4.34128       0.00000      4.771653E-02  0.000000E+00  4.771653E-02  0.000000E+00
   4.36652       0.00000      4.658434E-02  0.000000E+00  4.658434E-02  0.000000E+00
   4.39176       0.00000      4.550232E-02  0.000000E+00  4.550232E-02  0.000000E+00
   4.41700       0.00000      4.447045E-02  0.000000E+00  4.447045E-02  0.000000E+00
   4.44224       0.00000      4.342362E-02  0.000000E+00  4.342362E-02  0.000000E+00
   4.46748       0.00000      4.249044E-02  0.000000E+00  4.249044E-02  0.000000E+00
   4.49272       0.00000      4.160314E-02  0.000000E+00  4.160314E-02  0.000000E+00
   4.51796       0.00000      4.076174E-02  0.000000E+00  4.076174E-02  0.000000E+00
   4.54320       0.00000      3.991353E-02  0.000000E+00  3.991353E-02  0.000000E+00
   4.56844       0.00000      3.916272E-02  0.000000E+00  3.916272E-02  0.000000E+00
   4.59368       0.00000      3.845434E-02  0.000000E+00  3.845434E-02  0.000000E+00
   4.61892       0.00000      3.778837E-02  0.000000E+00  3.778837E-02  0.000000E+00
   4.64416       0.00000      3.712413E-02  0.000000E+00  3.712413E-02  0.000000E+00
   4.66940       0.00000      3.654232E-02  0.000000E+00  3.654232E-02  0.000000E+00
   4.69464       0.00000      3.600022E-02  0.000000E+00  3.600022E-02  0.000000E+00
   4.71988       0.00000      3.549781E-02  0.000000E+00  3.549781E-02  0.000000E+00
   4.74512       0.00000      3.503688E-02  0.000000E+00  3.503688E-02  0.000000E+00
   4.77036       0.00000      3.461615E-02  0.000000E+00  3.461615E-02  0.000000E+00
   4.79560       0.00000      3.423201E-02  0.000000E+00  3.423201E-02  0.000000E+00
   4.82084       0.00000      3.388445E-02  0.000000E+00  3.388445E-02  0.000000E+00
   4.84608       0.00000      3.355902E-02  0.000000E+00  3.355902E-02  0.000000E+00
   4.87132       0.00000      3.328553E-02  0.000000E+00  3.328553E-02  0.000000E+00
   4.89656       0.00000      3.304852E-02  0.000000E+00  3.304852E-02  0.000000E+00
   4.92180       0.00000      3.284796E-02  0.000000E+00  3.284796E-02  0.000000E+00
   4.94704       0.00000      3.268008E-02  0.000000E+00  3.268008E-02  0.000000E+00
   4.97228       0.00000      3.255175E-02  0.000000E+00  3.255175E-02  0.000000E+00
   4.99752       0.00000      3.246009E-02  0.000000E+00  3.246009E-02  0.000000E+00
   5.02276       0.00000      3.240510E-02  0.000000E+00  3.240510E-02  0.000000E+00
   5.04800       0.00000      3.238676E-02  0.000000E+00  3.238676E-02  0.000000E+00
   0.00000      3.600000E-02  3.200860E+00  0.000000E+00  3.200860E+00  1.300582E+01
  2.524000E-02  3.600000E-02  3.200102E+00  1.081489E-03  3.200102E+00  1.300274E+01
  5.048000E-02  3.600000E-02  3.197827E+00  2.162977E-03  3.197828E+00  1.299349E+01
  7.572000E-02  3.600000E-02  3.194036E+00  3.244466E-03  3.194038E+00  1.297808E+01
  0.100960      3.600000E-02  3.188728E+00  4.325955E-03  3.188731E+00  1.295650E+01
  0.126200      3.600000E-02  3.182297E+00  5.348437E-03  3.182301E+00  1.293052E+01
  0.151440      3.600000E-02  3.174047E+00  6.418124E-03  3.174053E+00  1.289698E+01
  0.176680      3.600000E-02  3.164297E+00  7.487811E-03  3.164306E+00  1.285734E+01
  0.201920      3.600000E-02  3.153048E+00  8.557499E-03  3.153059E+00  1.281160E+01
  0.227160      3.600000E-02  3.140098E+00  9.567886E-03  3.140112E+00  1.275901E+01
  0.252400      3.600000E-02  3.125980E+00  1.056853E-02  3.125998E+00  1.270160E+01
  0.277640      3.600000E-02  3.110459E+00  1.156917E-02  3.110480E+00  1.263850E+01
  0.302880      3.600000E-02  3.093535E+00  1.256981E-02  3.093560E+00  1.256969E+01
  0.328120      3.600000E-02  3.076274E+00  1.352848E-02  3.076304E+00  1.250008E+01
  0.353360      3.600000E-02  3.056653E+00  1.445808E-02  3.056687E+00  1.242030E+01
  0.378600      3.600000E-02  3.035728E+00  1.538769E-02  3.035767E+00  1.233523E+01
  0.403840      3.600000E-02  3.013499E+00  1.631730E-02  3.013543E+00  1.224485E+01
  0.429080      3.600000E-02  2.991445E+00  1.717994E-02  2.991494E+00  1.215596E+01
  0.454320      3.600000E-02  2.966767E+00  1.801724E-02  2.966822E+00  1.205562E+01
  0.479560      3.600000E-02  2.940916E+00  1.885455E-02  2.940977E+00  1.195051E+01
  0.504800      3.600000E-02  2.913891E+00  1.969185E-02  2.913957E+00  1.184063E+01
  0.530040      3.600000E-02  2.887461E+00  2.044025E-02  2.887534E+00  1.173411E+01
  0.555280      3.600000E-02  2.858290E+00  2.116659E-02  2.858369E+00  1.161550E+01
  0.580520      3.600000E-02  2.828101E+00  2.189293E-02  2.828185E+00  1.149276E+01
  0.605760      3.600000E-02  2.796893E+00  2.261927E-02  2.796984E+00  1.136587E+01
  0.631000      3.600000E-02  2.766662E+00  2.323817E-02  2.766759E+00  1.124400E+01
  0.656240      3.600000E-02  2.733656E+00  2.383863E-02  2.733759E+00  1.110981E+01
  0.681480      3.600000E-02  2.699807E+00  2.443909E-02  2.699918E+00  1.097218E+01
  0.706720      3.600000E-02  2.665117E+00  2.503955E-02  2.665235E+00  1.083114E+01
  0.731960      3.600000E-02  2.631732E+00  2.551828E-02  2.631856E+00  1.069653E+01
  0.757200      3.600000E-02  2.595624E+00  2.598264E-02  2.595754E+00  1.054972E+01
  0.782440      3.600000E-02  2.558865E+00  2.644700E-02  2.559002E+00  1.040026E+01
  0.807680      3.600000E-02  2.521455E+00  2.691136E-02  2.521599E+00  1.024816E+01
  0.832920      3.600000E-02  2.485608E+00  2.724476E-02  2.485757E+00  1.010358E+01
  0.858160      3.600000E-02  2.447178E+00  2.756823E-02  2.447333E+00  9.947324E+00
  0.883400      3.600000E-02  2.408294E+00  2.789170E-02  2.408455E+00  9.789228E+00
  0.908640      3.600000E-02  2.368957E+00  2.821517E-02  2.369125E+00  9.629289E+00
  0.933880      3.600000E-02  2.331358E+00  2.840409E-02  2.331531E+00  9.477576E+00
  0.959120      3.600000E-02  2.291401E+00  2.858766E-02  2.291579E+00  9.315113E+00
  0.984360      3.600000E-02  2.251186E+00  2.877122E-02  2.251370E+00  9.151605E+00
   1.00960      3.600000E-02  2.210714E+00  2.895479E-02  2.210903E+00  8.987049E+00
   1.03484      3.600000E-02  2.172069E+00  2.900602E-02  2.172263E+00  8.831028E+00
   1.06008      3.600000E-02  2.131361E+00  2.905631E-02  2.131559E+00  8.665514E+00
   1.08532      3.600000E-02  2.090583E+00  2.910661E-02  2.090785E+00  8.499713E+00
   1.11056      3.600000E-02  2.049733E+00  2.915690E-02  2.049941E+00  8.333625E+00
   1.13580      3.600000E-02  2.010718E+00  2.908252E-02  2.010928E+00  8.175996E+00
   1.16104      3.600000E-02  1.969987E+00  2.901116E-02  1.970201E+00  8.010392E+00
   1.18628      3.600000E-02  1.929357E+00  2.893980E-02  1.929574E+00  7.845196E+00
   1.21152      3.600000E-02  1.888827E+00  2.886844E-02  1.889048E+00  7.680406E+00
   1.23676      3.600000E-02  1.850060E+00  2.868469E-02  1.850283E+00  7.523662E+00
   1.26200      3.600000E-02  1.809963E+00  2.850721E-02  1.810187E+00  7.360629E+00
